Application_id,Submission_date,District_id,District_name,Proposed_use,max_storeys,residential_units,non_residential_gfa_m2,inside_mtsa,mtsa_corridor,Distance to Transit (meter),approval_score,synthetic_approval,,,,
SPM 25 27,5/9/2025,1,Lakeview / Port Credit,Industrial and Commercial Multiples,1,0,181,1,Dundas BRT,70,90,1,,,,
SP 21 155,9/20/2021,11,Streetsville,Residential Apartments,5,79,0,0,Not within a Major Transit Station Area.,133,65,1,,,,
SP 25 2,1/9/2025,5,Malton / Northeast,General Retail Commercial,10,0,8622.16,1,Hurontario LRT,79,95,1,,,,
SP 20 63,6/11/2020,5,Malton / Northeast,Office,5,0,3403,0,Not within a Major Transit Station Area.,56,65,0,,,,
SP 24 26,8/21/2024,4,Mississauga Valleys,Residential Apartments; General Retail Commercial,45,1092,1712,1,Hurontario LRT,79,100,1,,,,
SP 25 30,5/21/2025,2,Port Credit / Clarkson,Residential Apartments; General Retail Commercial,5,53,55.3,0,Not within a Major Transit Station Area.,426,73,1,,,,
OZ 20 16,9/18/2020,8,Erin Mills,Community/Cultural; Place of Religious Assembly,,0,21181,0,Not within a Major Transit Station Area.,696,45,0,,,,
SP 24 54,12/3/2024,5,Malton / Northeast,Industrial General,,0,9597.35,0,Not within a Major Transit Station Area.,126,65,1,,,,
SP 24 38,10/29/2024,3,Rathwood / Applewood,Residential Apartments,14,234,0,0,Not within a Major Transit Station Area.,106,75,1,,,,
OZ 19 19,11/26/2019,5,Malton / Northeast,Automotive Service Commercial,,0,260.2,0,Not within a Major Transit Station Area.,48,65,1,,,,
SP 25 1,1/9/2025,6,Central Erin Mills,Residential Other Multiples,4,256,0,0,Not within a Major Transit Station Area.,292,70,1,,,,
SP 22 126,9/2/2022,1,Lakeview / Port Credit,Office; Industrial General,1,0,40420,1,Dundas BRT,174,90,1,,,,
OZ/OPA 21 12,8/30/2021,11,Streetsville,Residential Detached,,3,0,0,Not within a Major Transit Station Area.,435,65,0,,,,
OZ/OPA 25 5,2/14/2025,3,Rathwood / Applewood,Residential Townhouses; Residential Apartments; General Retail Commercial,,941,667,1,Dundas BRT,117,100,1,,,,
OZ/OPA 22 6,2/9/2022,8,Erin Mills,Residential Townhouses; Residential Apartments,,216,0,0,Not within a Major Transit Station Area.,296,70,1,,,,
