Application_id,Submission_date,District_id,District_name,Proposed_use,max_storeys,residential_units,non_residential_gfa_m2,inside_mtsa,mtsa_corridor,Distance to Transit (meter),approval_score,synthetic_approval,,,,
21CDM-M 21 7,9/14/2021,3,Rathwood / Applewood,Residential Townhouses,,6,0,1,Dundas BRT,28,90,0,,,,
SP 24 57,12/12/2024,5,Malton / Northeast,General Retail Commercial,7,0,6835,1,Hurontario LRT,91,95,1,,,,
SP 25 5,2/19/2025,1,Lakeview / Port Credit,Residential Apartments; General Retail Commercial,21,819,2896,1,Hurontario LRT,78,100,1,,,,
SP 25 65,12/8/2025,9,Meadowvale Village,Industrial General,,0,57326,0,Not within a Major Transit Station Area.,820,45,1,,,,
SP 22 15,1/28/2022,4,Mississauga Valleys,Residential Apartments; General Retail Commercial,45,1577,1979,1,Hurontario LRT,82,100,1,,,,
SP 25 19,3/24/2025,8,Erin Mills,Residential Detached,3,56,0,0,Not within a Major Transit Station Area.,354,65,1,,,,
SP 24 41,11/7/2024,4,Mississauga Valleys,Residential Apartments; General Retail Commercial,63,1218,597,1,Hurontario LRT,147,100,1,,,,
SP 22 162,12/20/2022,7,Meadowvale,Residential Apartments; General Retail Commercial,32,966,576.9,1,Dundas BRT,133,100,1,,,,
SP 25 63,12/3/2025,9,Meadowvale Village,Industrial General,,0,20438,0,Not within a Major Transit Station Area.,820,45,0,,,,
SP 24 58,12/18/2024,1,Lakeview / Port Credit,Residential Apartments; General Retail Commercial,9,166,277.1,0,Not within a Major Transit Station Area.,64,78,1,,,,
SP 24 46,11/22/2024,5,Malton / Northeast,General Retail Commercial,,0,20887,1,Hurontario LRT,190,90,1,,,,
